Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-17 13:52:59.801805+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=12 LocalApicId=48 Enabled
2025-07-17 13:52:59.801809+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(12) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801811+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=13 LocalApicId=49 Enabled
2025-07-17 13:52:59.801814+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(13) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801816+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=14 LocalApicId=56 Enabled
2025-07-17 13:52:59.801820+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(14) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801822+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=15 LocalApicId=57 Enabled
2025-07-17 13:52:59.801826+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(15) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801828+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=16 LocalApicId=72 Enabled
2025-07-17 13:52:59.801831+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(16) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801833+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=17 LocalApicId=74 Enabled
2025-07-17 13:52:59.801837+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(17) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801839+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=18 LocalApicId=76 Enabled
2025-07-17 13:52:59.801844+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(18) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801846+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=19 LocalApicId=78 Enabled
2025-07-17 13:52:59.801850+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(19) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801858+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=20 LocalApicId=255 Disabled
2025-07-17 13:52:59.801859+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=21 LocalApicId=255 Disabled
2025-07-17 13:52:59.801861+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=22 LocalApicId=255 Disabled
2025-07-17 13:52:59.801862+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=23 LocalApicId=255 Disabled
2025-07-17 13:52:59.801863+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=24 LocalApicId=255 Disabled
2025-07-17 13:52:59.801864+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=25 LocalApicId=255 Disabled
2025-07-17 13:52:59.801865+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=26 LocalApicId=255 Disabled
2025-07-17 13:52:59.801866+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=27 LocalApicId=255 Disabled
2025-07-17 13:52:59.801868+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=28 LocalApicId=255 Disabled
2025-07-17 13:52:59.801869+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=29 LocalApicId=255 Disabled
2025-07-17 13:52:59.801870+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=30 LocalApicId=255 Disabled
2025-07-17 13:52:59.801871+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=31 LocalApicId=255 Disabled
2025-07-17 13:52:59.802056+1000 0x65       Default     0x0                  0      0    kernel: (ALF) [com.apple.alfkext:alf] com_apple_sockwall_start(): Disabling legacy firewall NKE.
2025-07-17 13:52:59.802194+1000 0x65       Default     0x0                  0      0    kernel: (AppleSystemPolicy) ASP: initializing bastion sandbox callback
2025-07-17 13:52:59.802233+1000 0x65       Default     0x0                  0      0    kernel: no external trust caches found (segment length is zero)
2025-07-17 13:52:59.829992+1000 0x80       Default     0x0                  0      0    kernel: Started cpu 1 (lapic id 00000001)
2025-07-17 13:52:59.838422+1000 0x81       Default     0x0                  0      0    kernel: Started cpu 2 (lapic id 00000008)
2025-07-17 13:52:59.846997+1000 0x82       Default     0x0                  0      0    kernel: Started cpu 3 (lapic id 00000009)
2025-07-17 13:52:59.855010+1000 0x83       Default     0x0                  0      0    kernel: Started cpu 4 (lapic id 00000010)
2025-07-17 13:52:59.863035+1000 0x84       Default     0x0                  0      0    kernel: Started cpu 5 (lapic id 00000011)
2025-07-17 13:52:59.870831+1000 0x85       Default     0x0                  0      0    kernel: Started cpu 6 (lapic id 00000018)
2025-07-17 13:52:59.878696+1000 0x86       Default     0x0                  0      0    kernel: Started cpu 7 (lapic id 00000019)
